name,position_error,angle_error,normalized_position_error,normalized_angle_error,num_aircrafts_for_normalization,number_of_missed_aircrafts,intersection_distances,distances_from_red_aircraft,num_aircrafts
./5843924292/Task_1_3_6_secondary.json,243.63149485293326,20.97912067954833,60.907873713233315,5.244780169887083,4,0,0.0,0.0,4
./5843924292/Task_1_5_7_secondary.json,376.64841648214275,134.9109187453634,75.32968329642856,26.982183749072682,5,1,1.0,1.0,6
./5843924292/Task_1_1_6.json,87.15294794819621,11.317249460899305,43.57647397409811,5.658624730449652,2,0,0.0,0.0,2
./5843924292/Task_1_3_4_secondary.json,250.32122551317573,41.88138320900774,62.58030637829393,10.470345802251934,4,0,0.0,0.0,4
./5843924292/Task_1_5_3.json,364.7679193166248,71.226334646098,60.794653219437464,11.871055774349665,6,0,0.0,0.0,6
./5843924292/Task_1_3_7.json,381.67067349066633,20.77561675456633,95.41766837266658,5.193904188641582,4,0,0.0,0.0,4
./5843924292/Task_1_1_4.json,155.05170968910556,15.618566422914796,77.52585484455278,7.809283211457398,2,0,0.0,0.0,2
./5843924292/Task_1_1_5_secondary.json,154.1326044207301,8.820286704879777,77.06630221036505,4.4101433524398885,2,0,0.0,0.0,2
./5843924292/Task_1_3_5_secondary.json,855.9002518472425,144.6748559661745,213.97506296181064,36.168713991543626,4,0,0.0,0.0,4
./5843924292/Task_1_5_4_secondary.json,349.60697696336354,54.013517669503685,58.26782949389392,9.00225294491728,6,0,0.0,0.0,6
./5843924292/Task_1_3_8.json,260.2777289708889,28.97690334600823,65.06943224272223,7.244225836502057,4,0,0.0,0.0,4
./5843924292/Task_1_1_3.json,9.280109889280517,4.404379512711216,4.640054944640259,2.202189756355608,2,0,0.0,0.0,2
./5843924292/Task_1_5_5.json,382.4392356427545,120.89508445937523,63.739872607125754,20.149180743229206,6,0,0.0,0.0,6
./5843924292/Task_1_3_2.json,158.2627257198105,33.78531991971769,39.565681429952626,8.446329979929423,4,0,0.0,0.0,4
./5843924292/Task_1_5_2_secondary.json,339.15534938357706,109.60088893577029,56.52589156392951,18.26681482262838,6,0,0.0,0.0,6
./5843924292/Task_1_1_2_secondary.json,147.05587790993812,8.505403703830716,73.52793895496906,4.252701851915358,2,0,0.0,0.0,2
./5843924292/Task_1_3_3.json,214.71227567443435,44.557874956436606,53.67806891860859,11.139468739109152,4,0,0.0,0.0,4
