WORD BFRQ FAM IMG KFFRQ NSYL T-LFRQ
MOVIE 1 523 571 29 2 285
MUSIC 23 599 549 216 2 660
NAIL - 563 588 6 1 171
NECKLACE - 536 606 3 2 64
NEEDLE - 533 589 15 1 88
NEWSPAPER 3 641 616 65 3 610
NOSE 3 584 605 60 1 478
NUT 1 - - 15 1 205
OAR - 496 592 - 1 25
OFFICE 18 566 518 255 2 1640
ONION - 550 617 15 2 268
ORANGE 3 567 626 23 2 351
OSTRICH - 358 - - 2 7
OVEN - 577 599 7 2 326
OWL - 477 595 2 1 34
PANTS - 575 630 9 1 43
PAPER 50 635 590 157 2 1235
PEACH - 536 613 3 1 154
PEACOCK - - - 2 2 26
PEANUT 1 - - 6 2 39
PEAR 1 567 590 6 1 62
PEN 2 554 576 18 1 144
PENCIL 1 598 607 34 2 186
PENDULUM - 407 605 2 3 9
PENGUIN - 360 - - 2 6
PEPPER - 554 587 13 2 285
PERFUME - - - 10 2 150
PHONE 21 550 587 54 1 272
PIANO - 545 630 38 2 212
PIG 1 509 635 8 1 75
PILL - 556 580 15 1 30
PILLS - - - - - -
PINEAPPLE - 489 569 9 3 235
PIPE 5 535 598 20 1 227
PITCHER - - - 21 2 155
PLANE 4 558 556 114 1 555
PLATE 2 556 527 22 1 316
PLIERS 1 499 588 1 2 -
PLUG 2 575 583 23 1 75
POCKET 2 590 558 46 2 572
POOL 2 541 577 111 1 194
POT 1 577 598 28 1 232
POTATO - 612 617 15 3 384
PRIZE - 508 517 28 1 306
PROBLEM 42 596 411 313 2 1079
PUMPKIN - - - 2 2 65
PURSE 3 533 567 14 1 140
RABBIT - 523 611 11 2 96
RACCOON - - - - - -
RADIO 15 644 613 120 3 393
RAZOR - 511 - 15 2 27
REFRIGERATOR - 545 612 23 5 169
RHINOCEROS - 400 - 3 4 4
RIFLE 1 477 581 63 2 181
RIVER 4 565 633 165 2 455
ROOSTER - 385 - 3 2 8
RULER - 571 543 3 2 24
SALOON - 381 608 12 2 95
SANDWICH 1 - - 10 2 291
SAW 41 552 531 352 1 2443
SCALE 10 523 463 60 1 156
SCHOOL 87 582 599 492 1 1585
SCISSORS 1 559 609 1 2 29
SCREW 1 - - 21 1 79
SCREWDRIVER - 544 617 - 3 -
SEAL - 482 563 17 1 154
SECRET 3 - - 78 2 453
SEED - 514 542 41 1 284
SHEEP 1 507 596 23 1 86
SHEET - 616 594 45 1 338
SHIRT 5 612 612 27 1 264
SHOE - 569 601 14 1 536
SHOVEL - 528 538 5 2 47
SKUNK - 519 652 - 1 23
SLAVE - 418 564 30 1 123
SLED - 477 - - 1 26
SNAKE - 501 627 44 1 62
SNOWMAN - - - - - -
SOAP - 594 600 22 1 192
SOCK 1 578 553 4 1 96
SODA - 536 544 3 2 93
SONG 1 603 578 70 1 394
SPIDER - 526 597 2 2 42
SPOON - 612 584 6 1 115
SQUIRREL - 511 642 1 2 32
STAIR 1 560 551 2 1 446
STAMP - - - 8 1 266
STAR 2 574 623 25 1 527
STATUE - 444 562 17 2 58
STOOL - 531 584 8 1 52
STORY 25 578 491 153 2 1651
STOVE - 525 592 15 1 199
STRAWBERRY - 539 631 - 3 121
STUDENT 39 632 603 131 2 392
SUGAR 6 608 595 34 2 726
SUITCASE 1 - - - - -
SUITE - 453 487 27 1 77
SUN 13 635 639 112 1 603
SWAN - - - 3 1 80
SWEATER - - - 14 2 85
TABLE 19 599 582 198 2 1325
TAIL 3 533 551 24 1 177
TAX 23 523 446 197 1 341
TEARS 3 - - - - -
TELEPHONE 11 605 655 76 3 800
TELEVISION 19 - - 50 4 14
THIMBLE - 397 570 1 1 6
THROAT 2 548 561 51 1 438
THUMB 6 601 599 10 1 150
TIE 4 559 551 23 1 489
TIGER - 513 606 7 2 103
TOASTER - 520 580 - 2 24
TODDLE - - - - 1 12
TOE 1 578 620 9 1 148
TOLL - 485 419 16 1 37
TOMATO - 574 610 4 3 166
TONGUE 4 531 621 35 2 201
TOOTH 2 578 624 20 1 61
TOOTHBRUSH - - - - - -
TOP 27 571 486 204 1 896
TOWEL - 570 570 6 2 172
TOY - 550 569 4 1 221
TRAIN 15 548 593 82 1 1019
TREE 5 613 622 59 1 942
TRUCK - 620 621 57 1 255
TRUMPET - 490 628 7 2 37
TURTLE - 509 564 8 2 21
UMBRELLA 1 511 592 8 3 41
VEST 1 472 581 4 1 39
VIOLIN - 468 606 11 3 49
VOLCANO - 461 627 2 3 22
WAGON - 443 - 55 2 325
WATCH 7 576 525 81 1 1722
WATER 24 641 632 442 2 2067
WATERMELON - - - - - -
WELL 1753 550 522 897 1 6295
WHEEL - 566 576 56 1 265
WHISKY 4 - - 23 2 -
WHISTLE 2 505 574 4 2 211
WIND 9 592 535 63 1 657
WINDMILL - 368 - 1 2 23
WINDOW 4 621 602 119 2 1564
WINEGLASS - - - - 2 -
WRENCH - - - - 1 69
ZEBRA - 333 - 1 2 5
